decision_date,ticker,ticker_raw,asset_class,issuer_name,specification,isin,observed_at,close_price_brl,average_daily_value_brl,trading_days,trade_count,quantity,source,universe_year
2024-01-02,AIEC11.SA,AIEC11,fii,FII AUTONOMY,CI,BRAIECCTF009,2024-01-02,57.07,739938.0769999999,60,2612,18777,B3 COTAHIST official annual file; last trading session 2024-01-02; 60-session average traded value,2024
2024-01-02,BLMO11.SA,BLMO11,fii,FII BLUEMAC,CI  ERB,BRBLMOCTF009,2024-01-02,85.0,738171.5909090909,11,23,69,B3 COTAHIST official annual file; last trading session 2024-01-02; 60-session average traded value,2024
2024-01-02,HGPO11.SA,HGPO11,fii,FII CSHGPRIM,CI  ER,BRHGPOCTF009,2024-01-02,281.94,732791.3216666667,60,1064,1863,B3 COTAHIST official annual file; last trading session 2024-01-02; 60-session average traded value,2024
2024-01-02,PORD11.SA,PORD11,fii,FII POLO CRI,CI  ER,BRPORDCTF005,2024-01-02,89.9,715014.0915,60,468,4712,B3 COTAHIST official annual file; last trading session 2024-01-02; 60-session average traded value,2024
2024-01-02,HPDP11.SA,HPDP11,fii,FII HEDGEPDP,CI  ER,BRHPDPCTF003,2024-01-02,87.53,702260.6473684211,57,5,20,B3 COTAHIST official annual file; last trading session 2024-01-02; 60-session average traded value,2024
2024-01-02,VVCO11.SA,VVCO11,fii,FII V2EDCORP,CI,BRVVCOCTF007,2024-01-02,13.6,668166.0886666666,60,39,321,B3 COTAHIST official annual file; last trading session 2024-01-02; 60-session average traded value,2024
2024-01-02,KNUQ11.SA,KNUQ11,fii,FII KINEA UN,CI  ER,BRKNUQCTF004,2024-01-02,103.09,643636.8595454545,44,70,2611,B3 COTAHIST official annual file; last trading session 2024-01-02; 60-session average traded value,2024
2024-01-02,SPXS11.SA,SPXS11,fii,FII SPX SYN,CI,BRSPXSCTF002,2024-01-02,9.49,641876.2640000001,60,1578,13585,B3 COTAHIST official annual file; last trading session 2024-01-02; 60-session average traded value,2024
2024-01-02,BCIA11.SA,BCIA11,fii,FII BCIA,CI  ER,BRBCIACTF005,2024-01-02,103.6,641082.821,60,811,6553,B3 COTAHIST official annual file; last trading session 2024-01-02; 60-session average traded value,2024
2024-01-02,KCRE11.SA,KCRE11,fii,FII KINEA CR,CI  ER,BRKCRECTF009,2024-01-02,97.9,640536.8345,60,282,3326,B3 COTAHIST official annual file; last trading session 2024-01-02; 60-session average traded value,2024
2024-01-02,XPSF11.SA,XPSF11,fii,FII XP SELEC,CI  ER,BRXPSFCTF009,2024-01-02,8.24,624504.0571666666,60,3808,99345,B3 COTAHIST official annual file; last trading session 2024-01-02; 60-session average traded value,2024
2024-01-02,SNCI11.SA,SNCI11,fii,FII SUNO CRI,CI,BRSNCICTF002,2024-01-02,100.2,617114.3591666666,60,885,10727,B3 COTAHIST official annual file; last trading session 2024-01-02; 60-session average traded value,2024
2024-01-02,OUJP11.SA,OUJP11,fii,FII OURI JPP,CI  ER,BROUJPCTF006,2024-01-02,96.95,612688.4406666666,60,1532,8191,B3 COTAHIST official annual file; last trading session 2024-01-02; 60-session average traded value,2024
2024-01-02,BCRI11.SA,BCRI11,fii,FII BEES CRI,CI  ER,BRBCRICTF009,2024-01-02,74.09,610679.347,60,925,9234,B3 COTAHIST official annual file; last trading session 2024-01-02; 60-session average traded value,2024
2024-01-02,TRXB11.SA,TRXB11,fii,FII TRX R II,CI  ER,BRTRXBCTF002,2024-01-02,145.32,596193.0319047619,42,11,17,B3 COTAHIST official annual file; last trading session 2024-01-02; 60-session average traded value,2024
